"Category","Annual Mean","Smoothed"
"1901",661.28,668.11
"1902",649.45,653.9
"1903",693.6,664.12
"1904",611.27,670.84
"1905",705.02,665.97
"1906",694.85,649.41
"1907",625.1,669.46
"1908",610.84,683.74
"1909",711.51,653.69
"1910",776.39,681.7
"1911",544.62,693.76
"1912",765.14,699.76
"1913",671.12,687.88
"1914",741.53,735.15
"1915",716.98,713.2
"1916",780.98,715.95
"1917",655.35,706.42
"1918",684.92,693.08
"1919",693.87,641.5
"1920",650.25,671.2
"1921",523.1,677.05
"1922",803.85,676.16
"1923",714.18,688.02
"1924",689.41,736
"1925",709.58,731.49
"1926",762.96,722.59
"1927",781.33,701.14
"1928",669.66,717.05
"1929",582.17,720.86
"1930",789.13,693.55
"1931",782.04,678.45
"1932",644.74,682.31
"1933",594.18,669.41
"1934",601.47,658.1
"1935",724.62,671.21
"1936",725.47,683.75
"1937",710.31,729.54
"1938",656.9,736.12
"1939",830.4,740.06
"1940",757.54,721.21
"1941",745.18,703.74
"1942",616.01,690.85
"1943",569.59,681.18
"1944",765.93,669.89
"1945",709.19,669.63
"1946",688.7,689.62
"1947",614.72,657.17
"1948",669.56,669.93
"1949",603.7,671.93
"1950",773,696.42
"1951",698.69,673.91
"1952",737.18,708.97
"1953",556.98,693.47
"1954",778.99,700.97
"1955",695.53,693.35
"1956",736.18,739.92
"1957",699.05,688.33
"1958",789.87,706.21
"1959",521.02,710.78
"1960",784.94,699.09
"1961",759.03,664.61
"1962",640.6,679.79
"1963",617.49,697.47
"1964",596.9,720.58
"1965",873.35,741.41
"1966",874.56,768.46
"1967",744.73,778.86
"1968",752.74,762.48
"1969",648.92,697.46
"1970",791.48,670.42
"1971",549.43,646.51
"1972",609.54,671.95
"1973",633.2,637
"1974",776.07,634.18
"1975",616.76,660.76
"1976",535.31,675.47
"1977",742.44,669.08
"1978",706.78,695.81
"1979",744.12,763.71
"1980",750.4,742.85
"1981",874.81,743.28
"1982",638.12,739.59
"1983",708.93,722.39
"1984",725.71,698.16
"1985",664.39,730.91
"1986",753.66,745.19
"1987",801.89,723.87
"1988",780.3,734.13
"1989",619.11,701.65
"1990",715.67,684.18
"1991",591.26,682.19
"1992",714.55,713.18
"1993",770.38,722.31
"1994",774.03,724.06
"1995",761.35,709.91
"1996",600.01,713.76
"1997",643.81,708.84
"1998",789.6,703.88
"1999",749.42,742.41
"2000",736.58,789.64
"2001",792.65,742.64
"2002",879.98,734.67
"2003",554.57,726.28
"2004",709.56,703.83
"2005",694.63,700.48
"2006",680.41,730
"2007",863.24,734.19
"2008",702.15,748.4
"2009",730.53,743.31
"2010",765.67,711.71
"2011",654.95,715.98
"2012",705.23,707.78
"2013",723.53,682.72
"2014",689.5,690.31
"2015",640.38,708
"2016",692.9,674.88
"2017",793.69,669.65
"2018",557.95,669.7
"2019",663.31,663.9
"2020",640.66,620.64
